table_name;column_position;column_name
closed_deals;1;mql_id
closed_deals;2;seller_id
closed_deals;3;sdr_id
closed_deals;4;sr_id
closed_deals;5;won_date
closed_deals;6;business_segment
closed_deals;7;lead_type
closed_deals;8;lead_behaviour_profile
closed_deals;9;has_company
closed_deals;10;has_gtin
closed_deals;11;average_stock
closed_deals;12;business_type
closed_deals;13;declared_product_catalog_size
closed_deals;14;declared_monthly_revenue
customers;1;customer_id
customers;2;customer_unique_id
customers;3;customer_zip_code_prefix
customers;4;customer_city
customers;5;customer_state
geolocation;1;geolocation_zip_code_prefix
geolocation;2;geolocation_lat
geolocation;3;geolocation_lng
geolocation;4;geolocation_city
geolocation;5;geolocation_state
marketing_qualified_leads;1;mql_id
marketing_qualified_leads;2;first_contact_date
marketing_qualified_leads;3;landing_page_id
marketing_qualified_leads;4;origin
order_items;1;order_id
order_items;2;order_item_id
order_items;3;product_id
order_items;4;seller_id
order_items;5;shipping_limit_date
order_items;6;price
order_items;7;freight_value
order_payments;1;order_id
order_payments;2;payment_sequential
order_payments;3;payment_type
order_payments;4;payment_installments
order_payments;5;payment_value
order_reviews;1;review_id
order_reviews;2;order_id
order_reviews;3;review_score
order_reviews;4;review_comment_title
order_reviews;5;review_comment_message
order_reviews;6;review_creation_date
order_reviews;7;review_answer_timestamp
orders;1;order_id
orders;2;customer_id
orders;3;order_status
orders;4;order_purchase_timestamp
orders;5;order_approved_at
orders;6;order_delivered_carrier_date
orders;7;order_delivered_customer_date
orders;8;order_estimated_delivery_date
products;1;product_id
products;2;product_category_name
products;3;product_name_lenght
products;4;product_description_lenght
products;5;product_photos_qty
products;6;product_weight_g
products;7;product_length_cm
products;8;product_height_cm
products;9;product_width_cm
sellers;1;seller_id
sellers;2;seller_zip_code_prefix
sellers;3;seller_city
sellers;4;seller_state
